Engagement ID 188131665946946563
Time	Speaker	Engagement Lines
06/09 15:43:59	Opener	 Opener: Hi, I'm Cosmo - your virtual assistant.
06/09 15:44:00	Opener	 Opener: Using a few short words, how can I help you today?
06/09 15:44:04	Customer	Feedback
06/09 15:44:05	Agent	Agent 'COSMO-PRODUCTION-VA-2' enters chat (as Cosmo)
06/09 15:44:13	Agent-Freehand	"Okay – I see you're already logged in.
Let me see if an adviser is available to help..."
06/09 15:44:14	Agent-Freehand	A member of our team will be with you shortly.
06/09 15:44:15	Agent	Agent 'COSMO-PRODUCTION-VA-2' exits chat
06/09 15:44:16	Agent	Agent '892390' enters chat (as Aishwarya)
06/09 15:46:52	Customer	Why am I not being prompted to feedback section
06/09 15:47:25	Agent-Freehand	"Hi Good Afternoon ! Hope you are doing well ? Please don’t worry I’ll help you with the issue. Before we proceed could you please confirm your email address?

"
06/09 15:47:49	Customer	I am not here for any account information
06/09 15:47:54	Customer	stop asking email
06/09 15:47:57	Customer	and details
06/09 15:50:52	Customer	Is anyone there
06/09 15:51:31	Agent-Freehand	No worries , May I know are you referring to fill in survey or to give feedback on British gas service ?
06/09 15:52:06	Customer	If I give zero for British Gas will the survey be counted as d-sat for you
06/09 15:52:27	Customer	And if I give 5 to you
06/09 15:53:23	Customer	is there any feedback form that you can provide me as I would like to write an essay on British Gas service and its employees
06/09 15:53:56	Customer	It’s too much of inconvenience with such a big supplier in UK. What a shame
06/09 15:54:08	Customer	British gas is a sham.
06/09 15:54:18	Customer	one fraud of.
06/09 15:54:36	Customer	One fraud of a supplier
06/09 15:55:41	Customer	I feel bad for myself for a being a customer to a bogus company like this.
06/09 15:56:35	Agent-Freehand	I am really sorry for the trouble I totally understand your concern after this .At the end of the this chat you will be able to fill in the survey
06/09 15:57:19	Customer	It will affect your score and I can’t fill much in the comment section during the survey I know that
06/09 15:58:09	Agent-Freehand	As you are not happy with the services , I am transferring the chat to my manager, Please be connected
06/09 15:58:18	Customer	yes
06/09 15:58:33	Customer	this way you can also skip the survey
06/09 15:58:45	Customer	i don’t want someone score to be affected
06/09 16:00:48	Agent	Agent 'Karan.Singh' enters chat (as Karan)
06/09 16:00:51	Agent	Agent '892390' exits chat
06/09 16:01:26	Agent-Freehand	"My name is Karan and I am the floor manager and will be helping you further

May I know how can I help you"
06/09 16:02:32	Customer	give me a minute
06/09 16:03:20	Agent-Freehand	No worries
06/09 16:06:19	Customer	sorry one minute
06/09 16:07:20	Customer	I want to provide feedback
06/09 16:07:45	Customer	But I am not being promoted to survey when I disconnect the chat
06/09 16:07:47	Customer	why
06/09 16:07:58	Customer	but now I am trying again.
06/09 16:08:46	Customer	also, I want to leave this feedback in here about British Gas and the gents I spoke to cause there will be no much space left in the comment section, when I take the survey I know this
06/09 16:09:37	Agent-Freehand	I understand, whenever customer ends a webchat with us, an automated survey is triggered for the customer to give feedback of the conversation that you had with us
06/09 16:11:36	Agent-Freehand	if you are not happy with British gas service, you can raise a complaint on the following link - https://britishgas.co.uk/complaints
06/09 16:11:55	Agent-Freehand	Also if you let me know your issue as well, I can raise a complaint on your behalf as well
06/09 16:12:09	Customer	Firstly, British Gas, Such a waste of a supplier I have seen in UK. Billing customers based on estimated readings and when we provide the actual readings, the difference that come up is £150-£200 such of a fraud. Shame on you guys for having a bogus system and stealing customers money like hell where we earn them working long hours, I guess it’s the same with every single customer.
06/09 16:14:33	Customer	coming to gents, come on guys. We are not your friends when it comes to a professional chat, stop using short cuts. Come to social media platform will text shortcuts there, no one will question you. I don’t even understand what’s Quality and assurance or complaints team doing,  without checking the agent chats. Is this the way your support customer and is this customer service.
06/09 16:14:40	Agent-Freehand	"Really sorry to hear this
if you can give me an opportunity to check your account and make things right for you

Could you please confirm the email address for me ?"
06/09 16:14:53	Customer	let me finish this.
06/09 16:15:32	Customer	And unless a customer tells them, they can’t rectify what’s up in the system. That’s the way your website is designed.
06/09 16:16:29	Customer	They should be trained with complete product knowledge before hitting the floor. This will be a big issue for British Gas if they keep doing like this, they don’t even know the price difference and how they are categories
06/09 16:16:52	Customer	**how they are categorised.
06/09 16:18:33	Customer	Redundancy is one such of big mistake and those repeat statements, stop using them again and again. Understand what customer is saying rather saying that we don’t understand
